nivel,id_edicion,anio,codigo_noc,gold,silver,bronze,total,estado,motivo
EDICION,54,2016,RSA,6,17,32,55,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,RUS,134,73,86,293,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,SGP,2,0,0,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,SLO,2,6,3,11,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,SRB,38,61,25,124,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,SUI,18,9,6,33,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,SVK,7,12,0,19,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,BDI,0,3,0,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,SWE,5,46,9,60,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,THA,4,5,4,13,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,TJK,3,0,0,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,BEL,6,35,6,47,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,TPE,2,0,11,13,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,TTO,0,0,3,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,TUN,0,0,8,8,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,TUR,3,8,11,22,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,UAE,0,0,3,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,UKR,5,21,13,39,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,USA,334,146,163,643,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,UZB,11,4,17,32,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,VEN,0,4,5,9,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,VIE,3,3,0,6,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,BLR,3,12,21,36,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,BRA,85,22,16,123,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,BRN,2,2,0,4,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,BUL,0,2,16,18,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,CAN,11,11,141,163,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,CHN,115,76,89,280,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,CIV,3,0,3,6,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,COL,9,6,9,24,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,ALG,0,6,0,6,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,CRO,20,38,5,63,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,CUB,15,6,12,33,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,CZE,3,6,36,45,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,DEN,32,29,42,103,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,DOM,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,EGY,0,0,9,9,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,ESP,27,47,46,120,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,EST,0,0,12,12,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,ETH,3,5,15,23,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,FIJ,28,0,0,28,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,FIN,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,FRA,56,118,56,230,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,GBR,161,141,72,374,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,GEO,5,3,10,18,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,GER,112,92,129,333,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,GRE,8,3,7,18,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,GRN,0,3,0,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,HUN,35,9,19,63,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,INA,6,6,0,12,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,IND,0,3,2,5,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,IOA,3,0,3,6,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,IRI,9,3,12,24,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,54,2016,IRL,0,7,0,7,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,ITA,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,JPN,0,1,1,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,KAZ,0,0,1,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,KOR,9,2,2,13,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,LAT,1,2,1,4,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,AUS,0,1,0,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,AUT,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,NOR,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,NZL,0,1,1,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,RUS,3,4,1,8,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,SLO,3,0,2,5,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,SUI,1,1,2,4,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,SWE,1,0,0,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,USA,4,2,0,6,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,CAN,1,0,1,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,CHN,1,4,0,5,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,CZE,0,4,1,5,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,FIN,0,0,1,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,FRA,0,1,0,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,GER,1,0,1,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,55,2016,HUN,0,2,1,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,56,2018,KGZ,0,1,0,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,56,2018,NED,0,0,1,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,56,2018,SRB,0,1,0,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,56,2018,SUI,1,0,1,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,56,2018,USA,0,0,1,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,56,2018,CZE,2,0,1,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,56,2018,GER,0,1,0,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,56,2018,HUN,3,0,0,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,ITA,3,5,7,15,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,JPN,7,5,7,19,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,KAZ,0,0,1,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,KOR,9,17,4,30,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,LAT,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,LIE,0,0,1,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,AUS,0,2,1,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,AUT,5,9,12,26,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,NED,8,9,12,29,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,NOR,27,23,18,68,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,NZL,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,POL,1,0,4,5,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,ROC,25,18,12,55,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,SLO,0,1,1,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,SUI,9,7,7,23,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,SVK,1,2,0,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,SWE,12,17,1,30,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,BEL,0,1,0,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,UKR,1,0,0,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,USA,34,9,17,60,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,BLR,5,1,0,6,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,CAN,20,33,38,91,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,CHN,1,11,2,14,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,CZE,2,2,3,7,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,ESP,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,FIN,1,1,24,26,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,FRA,8,5,13,26,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,GBR,1,0,4,5,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,GER,27,39,11,77,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,57,2018,HUN,4,0,0,4,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,ARG,0,32,45,77,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,ISR,2,0,23,25,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,ITA,39,33,68,140,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,JAM,18,2,19,39,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,JOR,0,2,2,4,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,JPN,134,78,42,254,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,KAZ,0,0,16,16,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,ARM,0,4,4,8,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,KEN,8,8,4,20,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,KGZ,0,4,2,6,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,KOR,28,14,34,76,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,KOS,4,0,0,4,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,KSA,0,2,0,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,KUW,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,LAT,7,0,2,9,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,LTU,0,2,0,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,MAR,2,0,0,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,MAS,0,2,4,6,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,MDA,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,MEX,0,0,51,51,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,MGL,0,2,6,8,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,MKD,0,2,0,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,AUS,68,52,132,252,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,NAM,0,2,0,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,AUT,2,1,10,13,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,NED,63,43,34,140,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,NGR,0,2,2,4,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,NOR,9,4,32,45,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,NZL,57,55,16,128,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,AZE,0,6,8,14,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,PHI,2,4,2,8,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,POL,24,28,16,68,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,POR,1,2,4,7,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,BAH,4,0,0,4,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,PUR,2,0,0,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,QAT,4,0,4,8,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,ROC,79,155,54,288,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,ROU,4,13,0,17,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,RSA,2,4,0,6,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,SLO,6,2,2,10,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,SMR,0,4,4,8,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,SRB,30,2,37,69,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,SUI,6,10,13,29,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,SVK,2,4,8,14,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,SWE,11,55,0,66,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,SYR,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,THA,2,0,2,4,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,TKM,0,2,0,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,BEL,38,2,11,51,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,TPE,5,11,12,28,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,TUN,1,1,0,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,TUR,4,4,18,26,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,UGA,4,2,2,8,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,UKR,2,13,40,55,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,USA,220,216,145,581,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,UZB,5,0,4,9,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,VEN,2,6,0,8,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,BER,2,0,0,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,BLR,1,12,6,19,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,BOT,0,0,10,10,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,BRA,58,34,17,109,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,BRN,0,2,0,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,BUL,14,2,4,20,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,BUR,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,CAN,70,26,68,164,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,CHN,112,94,70,276,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,CIV,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,COL,0,8,2,10,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,CRO,8,8,4,20,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,CUB,16,6,10,32,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,CZE,10,7,8,25,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,DEN,8,46,10,64,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,DOM,0,14,50,64,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,ECU,4,2,0,6,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,EGY,2,1,7,10,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,ESP,8,88,44,140,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,EST,8,0,2,10,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,ETH,2,2,4,8,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,FIJ,26,0,26,52,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,FIN,0,0,4,4,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,FRA,129,84,65,278,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,GBR,80,77,110,267,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,GEO,4,10,2,16,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,GER,39,51,68,158,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,GHA,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,GRE,4,26,2,32,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,GRN,0,0,2,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,HKG,2,4,10,16,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,HUN,17,13,69,99,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,INA,4,2,5,11,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,IND,2,4,41,47,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,IRI,6,4,3,13,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,58,2020,IRL,6,0,9,15,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,ISR,0,1,1,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,ITA,7,5,9,21,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,JPN,28,16,2,46,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,KOR,7,4,1,12,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,LAT,1,3,6,10,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,LIE,0,0,1,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,LTU,0,0,1,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,LUX,1,0,0,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,MEX,1,0,0,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,AUS,1,1,2,4,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,AUT,11,7,7,25,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,NED,4,4,1,9,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,NOR,13,4,4,21,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,NZL,1,0,3,4,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,POL,1,3,1,5,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,ROU,2,0,1,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,RUS,34,24,15,73,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,SLO,1,3,0,4,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,SRB,0,1,0,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,SUI,17,8,9,34,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,SVK,0,3,18,21,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,SWE,6,20,8,34,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,BEL,2,0,0,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,TPE,0,3,0,3,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,TUR,0,0,1,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,UKR,1,1,3,5,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,USA,3,22,8,33,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,BLR,1,0,1,2,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,BUL,0,0,1,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,CAN,2,3,23,28,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,CHN,3,4,5,12,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,COL,0,1,0,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,CRO,0,0,1,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,CZE,3,2,3,8,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
EDICION,59,2020,DEN,0,0,1,1,REVIEW,Aggregate derived from final participation rows; team-athlete rows are not collapsed here.
